episode,reward,avg_reward,filled_cells,success_rate,epsilon,loss,avg_q_value
101,100.0,100.0,100,1.0,0.8,1.1542542773485183,
102,100.0,100.0,100,1.0,0.798,1.2039548262953759,
103,100.0,100.0,100,1.0,0.796,1.3599156987667085,
104,100.0,100.0,100,1.0,0.794,1.2811965227127076,
105,100.0,100.0,100,1.0,0.792,1.2164674907922746,
106,100.0,100.0,100,1.0,0.79,1.3543574225902557,
107,100.0,100.0,100,1.0,0.788,1.3699764567613602,
108,100.0,100.0,100,1.0,0.786,1.4440817028284072,
109,100.0,100.0,100,1.0,0.784,1.5214240264892578,
110,100.0,100.0,100,1.0,0.782,1.4163161271810532,
111,100.0,100.0,100,1.0,0.78,1.499967908859253,
112,100.0,100.0,100,1.0,0.778,1.6147091007232666,
113,100.0,100.0,100,1.0,0.776,1.5635186558961869,
114,100.0,100.0,100,1.0,0.774,1.573116324543953,
115,100.0,100.0,100,1.0,0.772,1.6525189244747163,
116,100.0,100.0,100,1.0,0.77,1.677499983906746,8.955653190612793
117,100.0,100.0,100,1.0,0.768,1.680623715519905,
118,100.0,100.0,100,1.0,0.766,1.7295117431879043,
119,100.0,100.0,100,1.0,0.764,1.685909497141838,
120,100.0,100.0,100,1.0,0.762,1.6951006275415421,
121,100.0,100.0,100,1.0,0.76,1.795430724620819,8.345772743225098
122,100.0,100.0,100,1.0,0.758,1.878246375322342,
123,100.0,100.0,100,1.0,0.756,1.8735346460342408,
124,100.0,100.0,100,1.0,0.754,1.858798947930336,9.95132827758789
125,100.0,100.0,100,1.0,0.752,1.991690011024475,
126,100.0,100.0,100,1.0,0.75,1.9621103698015212,
127,100.0,100.0,100,1.0,0.748,2.1457650911808015,
128,100.0,100.0,100,1.0,0.746,1.9738269084692002,
129,100.0,100.0,100,1.0,0.744,2.1611923784017564,
130,100.0,100.0,100,1.0,0.742,2.1428422331809998,
131,100.0,100.0,100,1.0,0.74,2.0380483573675154,
132,100.0,100.0,100,1.0,0.738,2.3371929812431333,6.748817443847656
133,100.0,100.0,100,1.0,0.736,2.1150918334722517,
134,100.0,100.0,100,1.0,0.734,2.1868275672197344,
135,100.0,100.0,100,1.0,0.732,2.218053699731827,10.314335823059082
136,100.0,100.0,100,1.0,0.73,2.429561787843704,
137,100.0,100.0,100,1.0,0.728,2.4976598131656647,
138,100.0,100.0,100,1.0,0.726,2.4279248309135437,
139,100.0,100.0,100,1.0,0.724,2.532495527267456,
140,100.0,100.0,100,1.0,0.722,2.5546421706676483,
141,100.0,100.0,100,1.0,0.72,2.512901992201805,12.24947452545166
142,100.0,100.0,100,1.0,0.718,2.6567519164085387,
143,100.0,100.0,100,1.0,0.716,2.7557670748233796,
144,100.0,100.0,100,1.0,0.714,2.5687107396125795,
145,100.0,100.0,100,1.0,0.712,2.7279454922676085,8.645618438720703
146,100.0,100.0,100,1.0,0.71,2.8273234701156618,
147,100.0,100.0,100,1.0,0.708,2.622497456073761,
148,100.0,100.0,100,1.0,0.706,2.7007905209064482,7.8616766929626465
149,100.0,100.0,100,1.0,0.704,2.76369353890419,
150,100.0,100.0,100,1.0,0.702,2.657637258768082,
151,100.0,100.0,100,1.0,0.7,2.9565296638011933,
152,100.0,100.0,100,1.0,0.698,3.1131881511211397,11.110514640808105
153,100.0,100.0,100,1.0,0.696,3.115151187181473,
154,100.0,100.0,100,1.0,0.694,3.019934815168381,12.322285652160645
155,100.0,100.0,100,1.0,0.692,2.990950222015381,
156,100.0,100.0,100,1.0,0.69,3.338641049861908,
157,100.0,100.0,100,1.0,0.688,3.223160766363144,
158,100.0,100.0,100,1.0,0.6859999999999999,3.1490632939338683,
159,100.0,100.0,100,1.0,0.6839999999999999,3.4861918818950652,11.49901294708252
160,100.0,100.0,100,1.0,0.6819999999999999,3.1669081056118014,
161,100.0,100.0,100,1.0,0.6799999999999999,3.3343821585178377,
162,100.0,100.0,100,1.0,0.6779999999999999,3.4471837961673737,12.419896125793457
163,100.0,100.0,100,1.0,0.6759999999999999,3.589232804775238,14.14417552947998
164,100.0,100.0,100,1.0,0.6739999999999999,3.613574252128601,
165,100.0,100.0,100,1.0,0.6719999999999999,3.6285940051078795,
166,100.0,100.0,100,1.0,0.6699999999999999,3.5301190876960753,
167,100.0,100.0,100,1.0,0.6679999999999999,3.8499354922771456,
168,100.0,100.0,100,1.0,0.6659999999999999,3.7765024960041047,
169,100.0,100.0,100,1.0,0.6639999999999999,3.583804416656494,11.247910499572754
170,100.0,100.0,100,1.0,0.6619999999999999,3.625051521062851,
171,100.0,100.0,100,1.0,0.6599999999999999,3.7950275564193725,9.514798164367676
172,100.0,100.0,100,1.0,0.6579999999999999,3.7447175931930543,9.493531227111816
173,100.0,100.0,100,1.0,0.656,4.041319671869278,
174,100.0,100.0,100,1.0,0.654,3.7376818203926088,
175,100.0,100.0,100,1.0,0.652,4.043329918384552,
176,100.0,100.0,100,1.0,0.65,4.067178704738617,9.288756370544434
177,100.0,100.0,100,1.0,0.648,3.9114086735248565,15.196426391601562
178,100.0,100.0,100,1.0,0.646,4.265325504541397,9.30901050567627
179,100.0,100.0,100,1.0,0.644,4.137751722335816,15.122076034545898
180,100.0,100.0,100,1.0,0.642,4.107413258552551,
181,100.0,100.0,100,1.0,0.64,4.424618239402771,
182,100.0,100.0,100,1.0,0.638,4.428390526771546,5.384953022003174
183,100.0,100.0,100,1.0,0.636,4.302450795173645,12.14866828918457
184,100.0,100.0,100,1.0,0.634,4.456171960830688,
185,100.0,100.0,100,1.0,0.632,4.442281624078751,
186,100.0,100.0,100,1.0,0.63,4.5548188543319705,
187,100.0,100.0,100,1.0,0.628,4.460319480895996,13.723119735717773
188,100.0,100.0,100,1.0,0.626,4.791533858776092,
189,100.0,100.0,100,1.0,0.624,4.952034573554993,
190,100.0,100.0,100,1.0,0.622,4.857148411273957,
191,100.0,100.0,100,1.0,0.62,4.729783596992493,13.486862182617188
192,100.0,100.0,100,1.0,0.618,5.00851886510849,
193,100.0,100.0,100,1.0,0.616,5.295219168663025,9.81222152709961
194,100.0,100.0,100,1.0,0.614,5.244267730712891,
195,100.0,100.0,100,1.0,0.612,4.859077985286713,15.605937957763672
196,100.0,100.0,100,1.0,0.61,5.025368752479554,12.29463005065918
197,100.0,100.0,100,1.0,0.608,5.197543706893921,
198,100.0,100.0,100,1.0,0.606,5.540779430866241,13.772859573364258
199,100.0,100.0,100,1.0,0.604,5.4643410968780515,12.849580764770508
200,100.0,100.0,100,1.0,0.602,5.240327303409576,
201,100.0,100.0,100,1.0,0.6,5.6896235823631285,
202,100.0,100.0,100,1.0,0.598,5.768242166042328,
203,100.0,100.0,100,1.0,0.596,5.720558612346649,14.094048500061035
204,100.0,100.0,100,1.0,0.594,5.825788311958313,14.940874099731445
205,100.0,100.0,100,1.0,0.5920000000000001,6.097123918533325,
206,100.0,100.0,100,1.0,0.5900000000000001,6.050594985485077,19.056154251098633
207,100.0,100.0,100,1.0,0.5880000000000001,6.32876033782959,15.414033889770508
208,100.0,100.0,100,1.0,0.5860000000000001,6.183230555057525,12.322566986083984
209,100.0,100.0,100,1.0,0.5840000000000001,5.958201580047607,
210,100.0,100.0,100,1.0,0.5820000000000001,6.119177129268646,
211,100.0,100.0,100,1.0,0.5800000000000001,6.085502524375915,9.94235610961914
212,100.0,100.0,100,1.0,0.5780000000000001,6.528000545501709,10.339115142822266
213,100.0,100.0,100,1.0,0.5760000000000001,6.463672666549683,
214,100.0,100.0,100,1.0,0.5740000000000001,6.171815626621246,17.62839126586914
215,100.0,100.0,100,1.0,0.5720000000000001,6.384163975715637,
216,100.0,100.0,100,1.0,0.5700000000000001,6.8129232263565065,
217,100.0,100.0,100,1.0,0.5680000000000001,6.7868931865692135,20.08971405029297
218,100.0,100.0,100,1.0,0.5660000000000001,6.4122950458526615,
219,100.0,100.0,100,1.0,0.5640000000000001,6.772859416007996,
220,100.0,100.0,100,1.0,0.562,6.608242447376251,
221,100.0,100.0,100,1.0,0.56,7.076264998912811,
222,100.0,100.0,100,1.0,0.558,7.1706352400779725,10.417598724365234
223,100.0,100.0,100,1.0,0.556,6.931308925151825,
224,100.0,100.0,100,1.0,0.554,7.227544658184051,
225,100.0,100.0,100,1.0,0.552,7.331134529113769,
226,100.0,100.0,100,1.0,0.55,6.883214364051819,13.18516731262207
227,100.0,100.0,100,1.0,0.548,7.271342303752899,8.293100357055664
228,100.0,100.0,100,1.0,0.546,7.6846697354316715,
229,100.0,100.0,100,1.0,0.544,7.805934495925904,
230,100.0,100.0,100,1.0,0.542,7.326012153625488,
231,100.0,100.0,100,1.0,0.54,7.124745938777924,16.301410675048828
232,100.0,100.0,100,1.0,0.538,7.998536484241486,19.372772216796875
233,100.0,100.0,100,1.0,0.536,7.666823806762696,13.457539558410645
234,100.0,100.0,100,1.0,0.534,7.987060317993164,
235,100.0,100.0,100,1.0,0.532,7.947700138092041,
236,100.0,100.0,100,1.0,0.53,8.140436277389526,
237,100.0,100.0,100,1.0,0.528,7.9889307522773745,
238,100.0,100.0,100,1.0,0.526,8.168215472698211,
239,100.0,100.0,100,1.0,0.524,7.84470911026001,20.7189884185791
240,100.0,100.0,100,1.0,0.522,7.758529238700866,
241,100.0,100.0,100,1.0,0.52,8.333486485481263,
242,100.0,100.0,100,1.0,0.518,8.416610639095307,
243,100.0,100.0,100,1.0,0.516,8.766612219810487,14.778419494628906
244,100.0,100.0,100,1.0,0.514,8.71583732366562,14.426336288452148
245,100.0,100.0,100,1.0,0.512,8.295692403316497,12.437504768371582
246,100.0,100.0,100,1.0,0.51,8.324933996200562,9.219999313354492
247,100.0,100.0,100,1.0,0.508,8.448047986030579,6.064530372619629
248,100.0,100.0,100,1.0,0.506,8.52215129852295,
249,100.0,100.0,100,1.0,0.504,8.764058849811555,7.683229923248291
250,100.0,100.0,100,1.0,0.502,8.498596045970917,
251,100.0,100.0,100,1.0,0.5,8.959526419639587,19.236032485961914
252,100.0,100.0,100,1.0,0.498,9.08759590625763,
253,100.0,100.0,100,1.0,0.496,9.537595582008361,16.525094985961914
254,100.0,100.0,100,1.0,0.494,9.627376255989075,
255,100.0,100.0,100,1.0,0.492,9.588159942626953,
256,100.0,100.0,100,1.0,0.49,9.30325044631958,
257,100.0,100.0,100,1.0,0.488,9.51797444820404,20.529367446899414
258,100.0,100.0,100,1.0,0.486,8.858320150375366,12.355545997619629
259,100.0,100.0,100,1.0,0.484,10.549076471328735,
260,100.0,100.0,100,1.0,0.482,9.611891865730286,17.496122360229492
261,100.0,100.0,100,1.0,0.48,9.023077030181884,
262,100.0,100.0,100,1.0,0.478,9.72999137878418,
263,100.0,100.0,100,1.0,0.476,10.363970074653626,18.36760139465332
264,100.0,100.0,100,1.0,0.474,10.706228079795837,16.760730743408203
265,100.0,100.0,100,1.0,0.472,10.388725934028626,15.569719314575195
266,100.0,100.0,100,1.0,0.47,10.628646636009217,5.6151885986328125
267,100.0,100.0,100,1.0,0.46799999999999997,11.815468573570252,17.588899612426758
268,100.0,100.0,100,1.0,0.46599999999999997,10.953907165527344,
269,100.0,100.0,100,1.0,0.46399999999999997,10.095973706245422,
270,100.0,100.0,100,1.0,0.46199999999999997,9.368782749176026,23.545696258544922
271,100.0,100.0,100,1.0,0.45999999999999996,11.088925848007202,23.233484268188477
272,100.0,100.0,100,1.0,0.45799999999999996,10.729299364089966,20.001220703125
273,100.0,100.0,100,1.0,0.45599999999999996,11.588500628471374,
274,100.0,100.0,100,1.0,0.45399999999999996,11.594378423690795,1.4893758296966553
275,100.0,100.0,100,1.0,0.45199999999999996,11.525188879966736,
276,100.0,100.0,100,1.0,0.44999999999999996,11.664813203811645,
277,100.0,100.0,100,1.0,0.44799999999999995,11.249477686882019,
278,100.0,100.0,100,1.0,0.44599999999999995,11.40547311782837,21.86334991455078
279,100.0,100.0,100,1.0,0.44399999999999995,11.444180798530578,20.714096069335938
280,100.0,100.0,100,1.0,0.44199999999999995,11.851322851181031,24.0393123626709
281,100.0,100.0,100,1.0,0.43999999999999995,11.873185157775879,
282,100.0,100.0,100,1.0,0.43799999999999994,12.764948496818542,
283,100.0,100.0,100,1.0,0.43600000000000005,11.506430583000183,
284,100.0,100.0,100,1.0,0.43400000000000005,12.341056790351868,2.3423304557800293
285,100.0,100.0,100,1.0,0.43200000000000005,11.929722299575806,
286,100.0,100.0,100,1.0,0.43000000000000005,12.56518572807312,15.70598030090332
287,100.0,100.0,100,1.0,0.42800000000000005,12.518175840377808,25.35460662841797
288,100.0,100.0,100,1.0,0.42600000000000005,12.667428522109985,17.480228424072266
289,100.0,100.0,100,1.0,0.42400000000000004,13.762406392097473,16.477222442626953
290,100.0,100.0,100,1.0,0.42200000000000004,13.372390713691711,21.26214027404785
291,100.0,100.0,100,1.0,0.42000000000000004,12.900236864089965,22.13412857055664
292,100.0,100.0,100,1.0,0.41800000000000004,13.763528928756713,10.609251976013184
293,100.0,100.0,100,1.0,0.41600000000000004,13.874729022979736,23.093503952026367
294,100.0,100.0,100,1.0,0.41400000000000003,13.227443623542786,
295,100.0,100.0,100,1.0,0.41200000000000003,13.189264373779297,16.897052764892578
296,100.0,100.0,100,1.0,0.41000000000000003,14.111217813491821,18.644731521606445
297,100.0,100.0,100,1.0,0.40800000000000003,14.52677502155304,24.306562423706055
298,100.0,100.0,100,1.0,0.406,14.945154256820679,
299,100.0,100.0,100,1.0,0.404,15.273336329460143,
300,100.0,100.0,100,1.0,0.402,15.490009255409241,
301,100.0,100.0,100,1.0,0.4,14.124213008880615,
302,100.0,100.0,100,1.0,0.398,14.500485963821411,
303,100.0,100.0,100,1.0,0.396,14.836847457885742,18.950830459594727
304,100.0,100.0,100,1.0,0.394,14.172232279777527,18.501283645629883
305,100.0,100.0,100,1.0,0.392,15.940569381713868,26.82364273071289
306,100.0,100.0,100,1.0,0.39,15.259376816749572,11.388671875
307,100.0,100.0,100,1.0,0.388,15.016287112236023,7.36929988861084
308,100.0,100.0,100,1.0,0.386,14.576556358337402,11.507255554199219
309,100.0,100.0,100,1.0,0.384,15.658026185035705,
310,100.0,100.0,100,1.0,0.382,15.705024280548095,19.00661849975586
311,100.0,100.0,100,1.0,0.38,16.639851155281068,28.781417846679688
312,100.0,100.0,100,1.0,0.378,15.549849944114685,13.80061149597168
313,100.0,100.0,100,1.0,0.376,16.76667998313904,
314,100.0,100.0,100,1.0,0.374,16.95343204498291,
315,100.0,100.0,100,1.0,0.372,16.79274872779846,
316,100.0,100.0,100,1.0,0.37,16.651852922439573,20.958738327026367
317,100.0,100.0,100,1.0,0.368,17.764044852256774,14.10395336151123
318,100.0,100.0,100,1.0,0.366,16.658619661331176,21.220430374145508
319,100.0,100.0,100,1.0,0.364,16.423628702163697,25.58432960510254
320,100.0,100.0,100,1.0,0.362,17.349427433013915,
321,100.0,100.0,100,1.0,0.36,17.873911323547365,32.242069244384766
322,100.0,100.0,100,1.0,0.358,17.477435426712034,14.591114044189453
323,100.0,100.0,100,1.0,0.356,17.211096334457398,12.698532104492188
324,100.0,100.0,100,1.0,0.354,18.474508113861084,-0.8690993785858154
325,100.0,100.0,100,1.0,0.352,18.54332308769226,19.05474853515625
326,100.0,100.0,100,1.0,0.35,20.206847343444824,28.49542236328125
327,100.0,100.0,100,1.0,0.348,19.529836673736572,
328,100.0,100.0,100,1.0,0.346,18.28480598449707,
329,100.0,100.0,100,1.0,0.344,19.492112550735474,25.435075759887695
330,100.0,100.0,100,1.0,0.34199999999999997,19.058846368789673,
331,100.0,100.0,100,1.0,0.33999999999999997,18.895007581710814,16.218360900878906
332,100.0,100.0,100,1.0,0.33799999999999997,19.39093936920166,6.820518970489502
333,100.0,100.0,100,1.0,0.33599999999999997,18.40180594444275,
334,100.0,100.0,100,1.0,0.33399999999999996,18.947806825637816,19.799415588378906
335,100.0,100.0,100,1.0,0.33199999999999996,19.371213579177855,-0.5706807374954224
336,100.0,100.0,100,1.0,0.32999999999999996,20.53976999282837,7.058246612548828
337,100.0,100.0,100,1.0,0.32799999999999996,20.409890394210816,35.48823165893555
338,100.0,100.0,100,1.0,0.32599999999999996,19.93697186470032,
339,100.0,100.0,100,1.0,0.32399999999999995,19.94005078315735,-7.272807598114014
340,100.0,100.0,100,1.0,0.32199999999999995,20.81323437690735,17.346736907958984
341,100.0,100.0,100,1.0,0.31999999999999995,21.23188418388367,
342,100.0,100.0,100,1.0,0.31799999999999995,21.672830419540404,
343,100.0,100.0,100,1.0,0.31599999999999995,20.72500946044922,
344,100.0,100.0,100,1.0,0.31399999999999995,21.387069911956786,27.121749877929688
345,100.0,100.0,100,1.0,0.31200000000000006,21.297330350875853,18.74530029296875
346,100.0,100.0,100,1.0,0.31000000000000005,21.596084775924684,6.328548431396484
347,100.0,100.0,100,1.0,0.30800000000000005,21.499446601867675,2.139091730117798
348,100.0,100.0,100,1.0,0.30600000000000005,21.884223775863646,3.7148971557617188
349,100.0,100.0,100,1.0,0.30400000000000005,23.027529697418213,24.793960571289062
350,100.0,100.0,100,1.0,0.30200000000000005,21.924038515090942,21.548683166503906
351,100.0,100.0,100,1.0,0.30000000000000004,22.9069980430603,24.72069549560547
352,100.0,100.0,100,1.0,0.29800000000000004,22.411902236938477,7.489346981048584
353,100.0,100.0,100,1.0,0.29600000000000004,23.44420958518982,
354,100.0,100.0,100,1.0,0.29400000000000004,23.34347825050354,
355,100.0,100.0,100,1.0,0.29200000000000004,22.96498390197754,34.62803649902344
356,100.0,100.0,100,1.0,0.29000000000000004,23.216112966537477,19.882030487060547
357,100.0,100.0,100,1.0,0.28800000000000003,22.955150575637816,22.6449031829834
358,100.0,100.0,100,1.0,0.28600000000000003,23.84092851638794,
359,100.0,100.0,100,1.0,0.28400000000000003,23.194058656692505,
360,100.0,100.0,100,1.0,0.28200000000000003,24.056440086364745,15.689446449279785
361,100.0,100.0,100,1.0,0.28,25.03676570892334,20.108224868774414
362,100.0,100.0,100,1.0,0.278,23.408188009262084,8.727237701416016
363,100.0,100.0,100,1.0,0.276,24.74678894042969,
364,100.0,100.0,100,1.0,0.274,24.309557495117186,7.08592414855957
365,100.0,100.0,100,1.0,0.272,26.474619607925415,
366,100.0,100.0,100,1.0,0.27,24.41142463684082,
367,100.0,100.0,100,1.0,0.268,25.523094673156738,32.86626434326172
368,100.0,100.0,100,1.0,0.266,26.844069271087648,29.694276809692383
369,100.0,100.0,100,1.0,0.264,28.521656341552735,8.02374267578125
370,100.0,100.0,100,1.0,0.262,27.844505405426027,28.042709350585938
371,100.0,100.0,100,1.0,0.26,26.10161138534546,
372,100.0,100.0,100,1.0,0.258,28.601549634933473,37.44464874267578
373,100.0,100.0,100,1.0,0.256,27.213096113204955,
374,100.0,100.0,100,1.0,0.254,28.51159941673279,31.675283432006836
375,100.0,100.0,100,1.0,0.252,28.147585144042967,19.68551254272461
376,100.0,100.0,100,1.0,0.25,26.78767309188843,19.04911231994629
377,100.0,100.0,100,1.0,0.248,26.738953218460082,42.03614044189453
378,100.0,100.0,100,1.0,0.246,28.099449243545532,18.8016300201416
379,100.0,100.0,100,1.0,0.244,29.29506446838379,37.20092010498047
380,100.0,100.0,100,1.0,0.242,28.93433346748352,
381,100.0,100.0,100,1.0,0.24,28.954815378189085,15.608949661254883
382,100.0,100.0,100,1.0,0.238,29.53081009864807,
383,100.0,100.0,100,1.0,0.236,28.416115894317628,27.02776527404785
384,100.0,100.0,100,1.0,0.23399999999999999,29.276461000442506,4.973761558532715
385,100.0,100.0,100,1.0,0.23199999999999998,30.329178342819215,18.778623580932617
386,100.0,100.0,100,1.0,0.22999999999999998,31.54505202293396,
387,100.0,100.0,100,1.0,0.22799999999999998,30.069268646240236,22.467117309570312
388,100.0,100.0,100,1.0,0.22599999999999998,32.75057765960693,
389,100.0,100.0,100,1.0,0.22399999999999998,33.07580965042114,34.30791473388672
390,100.0,100.0,100,1.0,0.22199999999999998,31.300343914031984,35.39790344238281
391,100.0,100.0,100,1.0,0.21999999999999997,31.64071746826172,15.741866111755371
392,100.0,100.0,100,1.0,0.21799999999999997,30.841335124969483,27.61244773864746
393,100.0,100.0,100,1.0,0.21599999999999997,32.478673238754276,22.134416580200195
394,100.0,100.0,100,1.0,0.21399999999999997,32.540220079422,22.29154396057129
395,100.0,100.0,100,1.0,0.21199999999999997,30.294974002838135,-3.1300244331359863
396,100.0,100.0,100,1.0,0.20999999999999996,33.756203956604004,21.478986740112305
397,100.0,100.0,100,1.0,0.20799999999999996,32.10521198272705,29.989601135253906
398,100.0,100.0,100,1.0,0.20599999999999996,33.35513363838196,
399,100.0,100.0,100,1.0,0.20399999999999996,33.824758262634276,9.98806095123291
400,100.0,100.0,100,1.0,0.20199999999999996,33.48477306365967,37.89875030517578
401,100.0,100.0,100,1.0,0.19999999999999996,35.35875990867615,5.374996185302734
402,100.0,100.0,100,1.0,0.19799999999999995,34.34675012588501,0.5984854698181152
403,100.0,100.0,100,1.0,0.19599999999999995,34.386751594543455,16.304763793945312
404,100.0,100.0,100,1.0,0.19399999999999995,35.67066740036011,30.98027229309082
405,100.0,100.0,100,1.0,0.19199999999999995,35.28819910049438,
406,100.0,100.0,100,1.0,0.18999999999999995,34.65693920135498,-2.4365811347961426
407,100.0,100.0,100,1.0,0.18799999999999994,34.81311868667603,8.759835243225098
408,100.0,100.0,100,1.0,0.18600000000000005,34.88009323120117,40.3530387878418
409,100.0,100.0,100,1.0,0.18400000000000005,35.29657472610474,16.91007423400879
